"","A2V1","Block","ID","rank_data","BlockN","BlockN2"
"1",0.6,"main baseline +noise+","ckit94",110.5,1,1
"2",0.6,"main +noise+ condition1","ckit94",110.5,3,9
"3",0.5,"main +noise+ condition2","ckit94",99,4,16
"4",0.5,"main +noise+ condition3","ckit94",99,5,25
"5",0.6,"main +noise+ condition4","ckit94",110.5,6,36
"6",0.888888888888889,"main +noise+ condition5","ckit94",129.5,7,49
"7",0.6,"main +noise+ condition6","ckit94",110.5,8,64
"8",0.555555555555556,"main +noise+ condition7","ckit94",105,9,81
"10",0.8,"main baseline +noise+","EBR96",127.5,1,1
"11",0.3,"main +noise+ condition1","EBR96",74.5,3,9
"12",0.444444444444444,"main +noise+ condition2","EBR96",92,4,16
"13",0.5,"main +noise+ condition3","EBR96",99,5,25
"14",0.7,"main +noise+ condition4","EBR96",120.5,6,36
"15",0.6,"main +noise+ condition5","EBR96",110.5,7,49
"16",0.3,"main +noise+ condition6","EBR96",74.5,8,64
"17",0.4,"main +noise+ condition7","EBR96",88,9,81
"19",1,"main baseline +noise+","efl76",150,1,1
"20",0.3,"main +noise+ condition1","efl76",74.5,3,9
"21",0.7,"main +noise+ condition2","efl76",120.5,4,16
"22",0,"main +noise+ condition3","efl76",17,5,25
"23",0.1,"main +noise+ condition4","efl76",40.5,6,36
"24",0.1,"main +noise+ condition5","efl76",40.5,7,49
"25",0,"main +noise+ condition6","efl76",17,8,64
"26",0.3,"main +noise+ condition7","efl76",74.5,9,81
"28",1,"main baseline +noise+","EHE98",150,1,1
"29",0.7,"main +noise+ condition1","EHE98",120.5,3,9
"30",1,"main +noise+ condition2","EHE98",150,4,16
"31",0.9,"main +noise+ condition3","EHE98",135,5,25
"32",0.9,"main +noise+ condition4","EHE98",135,6,36
"33",0.7,"main +noise+ condition5","EHE98",120.5,7,49
"34",0.6,"main +noise+ condition6","EHE98",110.5,8,64
"35",0.4,"main +noise+ condition7","EHE98",88,9,81
"37",1,"main baseline +noise+","EHO94",150,1,1
"38",1,"main +noise+ condition1","EHO94",150,3,9
"39",1,"main +noise+ condition2","EHO94",150,4,16
"40",1,"main +noise+ condition3","EHO94",150,5,25
"41",1,"main +noise+ condition4","EHO94",150,6,36
"42",1,"main +noise+ condition5","EHO94",150,7,49
"43",1,"main +noise+ condition6","EHO94",150,8,64
"44",1,"main +noise+ condition7","EHO94",150,9,81
"46",0.3,"main baseline +noise+","EKI94",74.5,1,1
"47",0.333333333333333,"main +noise+ condition1","EKI94",82,3,9
"48",0,"main +noise+ condition2","EKI94",17,4,16
"49",0.1,"main +noise+ condition3","EKI94",40.5,5,25
"50",0.111111111111111,"main +noise+ condition4","EKI94",50.5,6,36
"51",0.1,"main +noise+ condition5","EKI94",40.5,7,49
"52",0,"main +noise+ condition6","EKI94",17,8,64
"53",0.222222222222222,"main +noise+ condition7","EKI94",67.5,9,81
"55",0.571428571428571,"main baseline +noise+","IGE97",106,1,1
"56",0.111111111111111,"main +noise+ condition1","IGE97",50.5,3,9
"57",0,"main +noise+ condition2","IGE97",17,4,16
"58",0.1,"main +noise+ condition3","IGE97",40.5,5,25
"59",0,"main +noise+ condition4","IGE97",17,6,36
"60",0,"main +noise+ condition5","IGE97",17,7,49
"61",0.333333333333333,"main +noise+ condition6","IGE97",82,8,64
"62",0.111111111111111,"main +noise+ condition7","IGE97",50.5,9,81
"64",1,"main baseline +noise+","LFU91",150,1,1
"65",0.2,"main +noise+ condition1","LFU91",60,3,9
"66",0.111111111111111,"main +noise+ condition2","LFU91",50.5,4,16
"67",0,"main +noise+ condition3","LFU91",17,5,25
"68",0.111111111111111,"main +noise+ condition4","LFU91",50.5,6,36
"69",0,"main +noise+ condition5","LFU91",17,7,49
"70",0,"main +noise+ condition6","LFU91",17,8,64
"71",0.9,"main +noise+ condition7","LFU91",135,9,81
"73",1,"main baseline +noise+","LFÜ93",150,1,1
"74",1,"main +noise+ condition1","LFÜ93",150,3,9
"75",1,"main +noise+ condition2","LFÜ93",150,4,16
"76",1,"main +noise+ condition3","LFÜ93",150,5,25
"77",0.9,"main +noise+ condition4","LFÜ93",135,6,36
"78",0.5,"main +noise+ condition5","LFÜ93",99,7,49
"79",1,"main +noise+ condition6","LFÜ93",150,8,64
"80",0.9,"main +noise+ condition7","LFÜ93",135,9,81
"82",0.5,"main baseline +noise+","NDR97",99,1,1
"83",0,"main +noise+ condition1","NDR97",17,3,9
"84",0,"main +noise+ condition2","NDR97",17,4,16
"85",0,"main +noise+ condition3","NDR97",17,5,25
"86",0,"main +noise+ condition4","NDR97",17,6,36
"87",0,"main +noise+ condition5","NDR97",17,7,49
"88",0.2,"main +noise+ condition6","NDR97",60,8,64
"89",0.2,"main +noise+ condition7","NDR97",60,9,81
"91",0,"main baseline +noise+","NNM75",17,1,1
"92",0.3,"main +noise+ condition1","NNM75",74.5,3,9
"93",0,"main +noise+ condition2","NNM75",17,4,16
"94",0,"main +noise+ condition3","NNM75",17,5,25
"95",0,"main +noise+ condition4","NNM75",17,6,36
"96",0.444444444444444,"main +noise+ condition5","NNM75",92,7,49
"97",0,"main +noise+ condition6","NNM75",17,8,64
"98",0.3,"main +noise+ condition7","NNM75",74.5,9,81
"100",0.1,"main baseline +noise+","NSP96",40.5,1,1
"101",0.1,"main +noise+ condition1","NSP96",40.5,3,9
"102",0,"main +noise+ condition2","NSP96",17,4,16
"103",0,"main +noise+ condition3","NSP96",17,5,25
